IMPONENTE_ID;SALDOS;FECHA_CIERRE;MONTO_CUOTA
8650;122110;31/08/2020;6211
11099;0;31/08/2020;0
35777;69790;31/08/2020;5958
36396;130152;31/08/2020;6269
3194;193139;31/08/2020;12571
7500;119820;31/08/2020;11982
11147;139080;31/08/2020;5908
36593;70797;31/08/2020;6868
28073;132960;31/08/2020;5296
765;165221;31/08/2020;12328
28671;137800;31/08/2020;7000
17944;320101;31/08/2020;6923
7743;300000;31/08/2020;30000
8491;121624;31/08/2020;6265
14935;171810;31/08/2020;9181
23856;230051;31/08/2020;15297
36716;87824;31/08/2020;10978
6376;34434;31/08/2020;3826
12801;161400;31/08/2020;16140
14067;231892;31/08/2020;20000
14485;302628;31/08/2020;24376
29500;138253;31/08/2020;11179
34633;105000;31/08/2020;15000
3311;55390;31/08/2020;4815
5782;48796;31/08/2020;4016
9039;60468;31/08/2020;10078
;104296;31/08/2020;6074
;110338;31/08/2020;10446
20898;50000;31/08/2020;10000
20913;160360;31/08/2020;11480
29717;67174;31/08/2020;4529
31442;161984;31/08/2020;11712
31363;127327;31/08/2020;6923
31419;200806;31/08/2020;17258
423;88551;31/08/2020;7793
9850;98461;31/08/2020;6923
32145;140711;31/08/2020;8673
15871;60608;31/08/2020;5444
35836;126788;31/08/2020;11684
6257;350000;31/08/2020;50000
9566;132822;31/08/2020;7546
517;87511;31/08/2020;6073
12012;150000;31/08/2020;10000
20826;120711;31/08/2020;8673
17027;102518;31/08/2020;6074
14166;41748;31/08/2020;5964
23517;94511;31/08/2020;15000
35689;43477;31/08/2020;6211
37196;71218;31/08/2020;10408
5829;104898;31/08/2020;6414
6539;133339;31/08/2020;10477
8780;108826;31/08/2020;6921
10483;30000;31/08/2020;10000
11784;94208;31/08/2020;5444
23219;171391;31/08/2020;15913
32271;102183;31/08/2020;8918
34269;135657;31/08/2020;7951
35169;85161;31/08/2020;8387
15144;176299;31/08/2020;13757
5153;350000;31/08/2020;50000
7413;128461;31/08/2020;6923
34109;130000;31/08/2020;10000
22750;122518;31/08/2020;6074
21654;75345;31/08/2020;5069
23605;105000;31/08/2020;15000
1164;156584;31/08/2020;5709
2800;245000;31/08/2020;30000
10804;400000;31/08/2020;20000
12305;157392;31/08/2020;9837
3050;136476;31/08/2020;8650
3837;103271;31/08/2020;7757
8009;105000;31/08/2020;15000
34959;107010;31/08/2020;10122
26024;177524;31/08/2020;13932
18100;134551;31/08/2020;7793
31235;149900;31/08/2020;15000
22471;94695;31/08/2020;6385
8494;118310;31/08/2020;6385
